Task,Category,Priority
Submit thesis introduction as soon as possible,Study,High
Buy Netflix movie today,Personal,Low
Plan garden plants today,Personal,Medium
Clean weekly groceries for next week,Personal,Low
Watch physics numericals immediately,Study,High
Study math assignment immediately,Study,High
Research quarterly sales data as soon as possible,Work,Medium
Email business lead,Work,Medium
Organize yoga session as soon as possible,Personal,Medium
Complete university library books as soon as possible,Study,Medium
Organize living room immediately,Personal,High
Organize office workstation immediately,Work,High
Attend psychology notes,Study,Medium
Coordinate code documentation as soon as possible,Work,Medium
Play dentist appointment today,Personal,Medium
Read English vocabulary today,Study,Medium
Complete contract for freelancer,Work,Medium
Watch weekly groceries as soon as possible,Personal,Low
Complete chemistry lab report immediately,Study,High
Listen to electricity bill immediately,Personal,High
Draft sprint plan today,Work,Medium
Revise English vocabulary by tomorrow,Study,Medium
Wash garden plants immediately,Personal,High
Analyze team meeting for next week,Work,High
Play electricity bill today,Personal,High
Coordinate project report by tomorrow,Work,Medium
Practice final exam as soon as possible,Study,High
Go to weekend trip,Personal,Low
Analyze quarterly sales data,Work,Medium
Practice university library books,Study,Medium
Plan wardrobe,Personal,Medium
Go to dancing class immediately,Personal,High
Practice biology chapter today,Study,Medium
Attend weekend trip for next week,Personal,Low
Attend football with friends immediately,Personal,High
Prepare thesis introduction for next week,Study,Medium
Analyze client proposal for next week,Work,Medium
Watch geography project,Study,Low
Exercise garden plants immediately,Personal,High
Review project report,Work,Medium
Organize weekend trip as soon as possible,Personal,Low
Go to electricity bill immediately,Personal,High
Cook electricity bill as soon as possible,Personal,High
Attend biology chapter immediately,Study,High
Present project report as soon as possible,Work,Medium
Memorize machine learning tutorial as soon as possible,Study,Medium
Present team meeting by tomorrow,Work,High
Plan dancing class by tomorrow,Personal,Low
Develop business lead as soon as possible,Work,Medium
Research office workstation today,Work,Medium
Exercise yoga session by tomorrow,Personal,Medium
Visit living room by tomorrow,Personal,Medium
Submit geography project as soon as possible,Study,High
Coordinate office workstation,Work,Medium
Email code documentation by tomorrow,Work,Medium
Go to garden plants by tomorrow,Personal,Medium
Update quarterly sales data today,Work,Medium
Complete math assignment today,Study,Medium
Update client proposal for next week,Work,Medium
Call business lead today,Work,Medium
Research English vocabulary as soon as possible,Study,Medium
Solve chemistry lab report for next week,Study,Medium
Attend bug in production,Work,High
Pay dancing class today,Personal,Low
Buy weekly groceries immediately,Personal,High
Exercise dentist appointment for next week,Personal,Medium
Complete chemistry lab report today,Study,Medium
Present quarterly sales data for next week,Work,Medium
Memorize history essay immediately,Study,High
Research machine learning tutorial for next week,Study,Medium
Analyze LinkedIn profile,Work,Medium
Schedule quarterly sales data immediately,Work,High
Listen to football with friends immediately,Personal,High
Draft client proposal for next week,Work,Medium
Revise final exam by tomorrow,Study,High
Fix budget sheet for next week,Work,Medium
Revise machine learning tutorial for next week,Study,Medium
Attend car as soon as possible,Personal,Medium
Watch biology chapter by tomorrow,Study,Low
Watch garden plants by tomorrow,Personal,Low
Practice thesis introduction immediately,Study,High
Water gym workout today,Personal,Medium
Complete thesis introduction,Study,Medium
Practice math assignment for next week,Study,Medium
Attend quarterly sales data by tomorrow,Work,Medium
Organize contract for freelancer today,Work,Medium
Study physics numericals,Study,Medium
Exercise Netflix movie by tomorrow,Personal,Low
Water gym workout for next week,Personal,Medium
Analyze project report as soon as possible,Work,Medium
Go to favorite podcast by tomorrow,Personal,Low
Study English vocabulary today,Study,Medium
Research coding challenge by tomorrow,Study,Medium
Write math assignment today,Study,Medium
Cook wardrobe,Personal,Medium
Visit Netflix movie as soon as possible,Personal,Low
Exercise dancing class immediately,Personal,High
Exercise wardrobe for next week,Personal,Medium
Visit weekly groceries today,Personal,Medium
Draft office workstation for next week,Work,Medium
Coordinate project report immediately,Work,High
Fix business lead immediately,Work,High
Wash dentist appointment immediately,Personal,High
Submit university library books as soon as possible,Study,High
Water dentist appointment today,Personal,Medium
Submit final exam for next week,Study,High
Clean dancing class for next week,Personal,Low
Complete sprint plan as soon as possible,Work,Medium
Pay Netflix movie as soon as possible,Personal,Low
Email quarterly sales data,Work,Medium
Present quarterly sales data immediately,Work,High
Plan gym workout for next week,Personal,Medium
Cook weekly groceries by tomorrow,Personal,Medium
Attend living room by tomorrow,Personal,Medium
Practice physics numericals,Study,Medium
Read university library books,Study,Medium
Coordinate client proposal today,Work,Medium
Play garden plants immediately,Personal,High
Cook yoga session today,Personal,Medium
Read history essay by tomorrow,Study,Medium
Read online course immediately,Study,High
Develop contract for freelancer as soon as possible,Work,Medium
Analyze sprint plan by tomorrow,Work,Medium
Review code documentation today,Work,Medium
Go to Netflix movie by tomorrow,Personal,Low
Prepare university library books for next week,Study,Medium
Cook weekend trip for next week,Personal,Low
Pay healthy dinner by tomorrow,Personal,Medium
Read chemistry lab report,Study,Medium
Memorize final exam,Study,High
Review LinkedIn profile today,Work,Medium
Analyze bug in production immediately,Work,High
Plan dancing class,Personal,Low
Go to weekend trip by tomorrow,Personal,Low
Clean weekend trip for next week,Personal,Low
Complete online course immediately,Study,High
Review business lead for next week,Work,Medium
Buy dancing class for next week,Personal,Low
Play wardrobe by tomorrow,Personal,Medium
Watch physics numericals for next week,Study,Low
Present sprint plan immediately,Work,High
Visit garden plants immediately,Personal,High
Fix code documentation today,Work,Medium
Coordinate marketing strategy for next week,Work,Medium
Fix code documentation,Work,Medium
Organize living room by tomorrow,Personal,Medium
Call sprint plan,Work,Medium
Analyze server maintenance immediately,Work,High
Take notes for psychology notes as soon as possible,Study,Medium
Analyze marketing strategy for next week,Work,Medium
Update team meeting today,Work,High
Clean dancing class immediately,Personal,High
Research biology chapter for next week,Study,Medium
Solve thesis introduction today,Study,Medium
Attend online course immediately,Study,High
Water dentist appointment as soon as possible,Personal,Medium
Memorize coding challenge by tomorrow,Study,Medium
Write university library books today,Study,Medium
Watch favorite podcast immediately,Personal,High
Research chemistry lab report immediately,Study,High
Pay car for next week,Personal,Medium
Cook Netflix movie today,Personal,Low
Complete coding challenge,Study,Medium
Complete bug in production,Work,High
Research coding challenge,Study,Medium
Practice coding challenge,Study,Medium
Attend contract for freelancer today,Work,Medium
Research psychology notes as soon as possible,Study,Medium
Call business lead by tomorrow,Work,Medium
Develop contract for freelancer by tomorrow,Work,Medium
Practice machine learning tutorial by tomorrow,Study,Medium
Update team meeting immediately,Work,High
Revise history essay for next week,Study,Medium
Schedule contract for freelancer today,Work,Medium
Play garden plants by tomorrow,Personal,Medium
Organize electricity bill,Personal,High
Play yoga session,Personal,Medium
Research software feature for next week,Work,Medium
Submit coding challenge by tomorrow,Study,High
Write psychology notes,Study,Medium
Water healthy dinner,Personal,Medium
Attend coding challenge,Study,Medium
Complete sprint plan,Work,Medium
Update marketing strategy for next week,Work,Medium
Analyze quarterly sales data today,Work,Medium
Organize yoga session,Personal,Medium
Schedule client proposal as soon as possible,Work,Medium
Prepare history essay immediately,Study,High
Plan yoga session immediately,Personal,High
Memorize geography project as soon as possible,Study,Medium
Go to football with friends for next week,Personal,Low
Submit business lead as soon as possible,Work,High
Wash car today,Personal,Medium
Water electricity bill today,Personal,High
Read coding challenge by tomorrow,Study,Medium
Water dentist appointment for next week,Personal,Medium
Schedule team meeting for next week,Work,High
Plan favorite podcast,Personal,Low
Wash wardrobe immediately,Personal,High
Study final exam,Study,High
Play wardrobe for next week,Personal,Medium
Organize code documentation,Work,Medium
Attend car today,Personal,Medium
Attend business lead immediately,Work,High
